id	country	countryCode	capital	tradingMarket	marketCode	indexName	indexCode	continent	timezone	dealTime	breakTime	population	population_count_year	area	gdp_raw	gdpRMB	gdp_count_year	gdp_currency	gdp_currency_rate	gdpPersonAvg	inlandCurrency	inlandCurrencyCode	summerTime
1	中国大陆	CN	北京	上海证券交易所	SSE	中证转债-上证指数-深证成指-创业板指-红利指数-中证红利-上证50-沪深300-中证500-中证1000-800等权-中小板指-全指医药-全指金融-证券公司-中证银行-养老产业-中证传媒-中证环保	i:1.000832-i:1.000001-i:0.399001-i:0.399006-i:1.000015-i:1.000922-i:1.000016-i:1.000300-i:0.399905-i:1.000852-i:1.000842-i:0.399005-i:1.000991-i:1.000992-i:0.399975-i:0.399986-i:0.399812-i:0.399971-i:1.000827	中国	UTC+8	09:25-15:00	11:30-13:00	 1400000000 	2019 	 9600000 	 99086500000000 	 99086500000000 	2019 	 人民币 	 1.0000 	 70776.07 	人民币	CNY	NA
2	中国香港	HK	NA	香港证券交易所	HKEX	恒生指数-国企指数-红筹指数	i:100.HSI-i:100.HSCEI-i:124.HSCCI	中国	UTC+8	09:30-16:10	12:30-14:00	 7500700 	2019 	 1106 	 2845300000000 	 2616253350000 	2018 	 港币 	 0.9195 	 348801.23 	港币	HKD	NA
3	中国台湾	TW	NA	台湾证券交易所	TWSE	台湾加权	i:100.TWII	亚洲	UTC+8	09:00-13:30	NA	 23600000 	2019 	 36193 	 4210000000000 	 4210000000000 	2019 	 人民币 	 1.0000 	 178389.83 	新台币	TWD	NA
4	日本	JP	东京	东京证券交易所	TSE	日经225	i:100.N225	亚洲	UTC+9	08:00-14:00	10:30-11:30	 124776364 	2019 	 377972 	 4971000000000 	 35433785100000 	2018 	 美元 	 7.1281 	 283978.34 	日元	JPY	NA
5	韩国	KR	首尔	韩国证券交易所	KRX	韩国KOSPI	i:100.KS11	亚洲	UTC+9	08:00-14:00	NA	 51635256 	2018 	 100210 	 1619000000000 	 11540393900000 	2018 	 美元 	 7.1281 	 223498.34 	韩元	KRW	NA
6	新加坡	SG	新加坡	新加坡交易所	SGX	富时新加坡海峡时报	i:100.STI	亚洲	UTC+8	09:00-17:00	12:00-13:00	 5640000 	2018 	 719 	 361000000000 	 2573244100000 	2018 	 美元 	 7.1281 	 456248.95 	新加坡元	SGD	NA
7	印度	NE	新德里	印度国家证券交易所	NSE	印度孟买SENSEX	i:100.SENSEX	亚洲	UTC+5	11:30-18:30	NA	 1324000000 	2019 	 2980000 	 2726000000000 	 19431200600000 	2018 	 美元 	 7.1281 	 14676.13 	印度卢比	INR	NA
8	马来西亚	MY	吉隆坡	马来西亚股票交易所	MYX	富时马来西亚KLCI	i:100.KLSE	亚洲	UTC+8	09:00-17:00	12:30-14:30	 31187265 	2016 	 330257 	 354348000000 	 2525827978800 	2018 	 美元 	 7.1281 	 80989.08 	林吉特	MYR	NA
9	泰国	TH	曼谷	泰国证券交易所	SET	泰国SET	i:100.SET	亚洲	UTC+7	11:30-17:30	13:30-15:30	 69037513 	2017 	 513120 	 504993000000 	 3599640603300 	2018 	 美元 	 7.1281 	 52140.36 	泰铢	THB	NA
10	菲律宾	PH	马尼拉	菲律宾证交所	PSE	菲律宾马尼拉	i:100.PSI	亚洲	UTC+8	09:30-15:00	12:00-13:30	 102000000 	2019 	 299700 	 330910000000 	 2358759571000 	2018 	 美元 	 7.1281 	 23125.09 	菲律宾比索	PHP	NA
